Effector;Protein;Shortest_Path;Shared_Connections;Pathways_Shared;Is_Connected;Interaction_Score
NleB;Chuk;2;2;3;False;0.467857
NleB;Casp3;2;2;3;False;0.467857
Tir;Ticam1;2;12;0;False;0.457143
EspF;Actn1;3;0;4;False;0.45
EspF;Ikbkb;3;0;4;False;0.45
EspF;Nck1;3;0;4;False;0.45
Map;Mapk9;2;1;3;False;0.446429
NleB;Tlr2;2;1;3;False;0.446429
NleB;Fas;2;1;3;False;0.446429
NleB;Tlr3;2;1;3;False;0.446429
NleB;Gsdme;2;1;3;False;0.446429
NleB;Il1r1;2;1;3;False;0.446429
NleB;Tlr4;2;1;3;False;0.446429
NleB;Jun;2;1;3;False;0.446429
EspH;Pik3ca;2;1;3;False;0.446429
NleF;Il1b;2;1;3;False;0.446429
EspF;Rhod;2;1;3;False;0.446429
NleB;Ticam1;2;11;0;False;0.435714
NleE;Mapk9;2;4;2;False;0.435714
Tir;Ripk1;2;11;0;False;0.435714
Tir;Myd88;2;11;0;False;0.435714
NleE;Ikbkg;2;7;1;False;0.425
EspL;Mlkl;2;3;2;False;0.414286
NleB;Casp1;2;3;2;False;0.414286
NleB;Cxcl1;2;3;2;False;0.414286
NleF;Casp6;2;3;2;False;0.414286
NleF;Casp1;2;3;2;False;0.414286
NleF;Casp7;2;3;2;False;0.414286
NleF;Casp3;2;3;2;False;0.414286
NleE;Il6;2;3;2;False;0.414286
NleE;Cxcl1;2;3;2;False;0.414286
NleB;Mapk14;2;6;1;False;0.403571
EspL;Il1b;2;2;2;False;0.392857
EspL;Casp6;2;2;2;False;0.392857
EspL;Casp1;2;2;2;False;0.392857
EspL;Casp3;2;2;2;False;0.392857
NleB;Mapk8;2;2;2;False;0.392857
NleB;Mapk10;2;2;2;False;0.392857
NleB;Mapkapk2;2;2;2;False;0.392857
NleB;Casp7;2;2;2;False;0.392857
NleF;Nfkb1;2;2;2;False;0.392857
NleE;Il1b;2;2;2;False;0.392857
NleE;Casp4;2;2;2;False;0.392857
EspG;Rac2;2;2;2;False;0.392857
EspG;Nck1;2;2;2;False;0.392857
EspF;Rhoc;2;2;2;False;0.392857
Tir;Rhoa;2;5;1;False;0.382143
Tir;Actr2;2;5;1;False;0.382143
Map;Actn1;3;0;3;False;0.375
Map;Ikbkb;3;0;3;False;0.375
NleB;Il13;3;0;3;False;0.375
NleB;Pik3ca;3;0;3;False;0.375
EspH;Nck1;3;0;3;False;0.375
EspM;Actn1;3;0;3;False;0.375
EspF;Rab13;3;0;3;False;0.375
EspF;Nherf1;3;0;3;False;0.375
EspF;Tlr2;3;0;3;False;0.375
EspF;Mapk9;3;0;3;False;0.375
EspF;Hax1;3;0;3;False;0.375
EspF;Pak3;3;0;3;False;0.375
EspF;Tlr4;3;0;3;False;0.375
NleH;Ikbkb;2;1;2;False;0.371429
NleH;Il6;2;1;2;False;0.371429
NleH;Chuk;2;1;2;False;0.371429
NleH;Cxcl1;2;1;2;False;0.371429
NleH;Nfkb1;2;1;2;False;0.371429
NleH;Casp7;2;1;2;False;0.371429
EspL;Gsdme;2;1;2;False;0.371429
EspL;Casp4;2;1;2;False;0.371429
Map;Il1b;2;1;2;False;0.371429
Map;Slc3a2;2;1;2;False;0.371429
Map;Casp6;2;1;2;False;0.371429
Map;Mapk8;2;1;2;False;0.371429
Map;Pik3ca;2;1;2;False;0.371429
Map;Mapk10;2;1;2;False;0.371429
Map;Casp7;2;1;2;False;0.371429
Map;Casp3;2;1;2;False;0.371429
Map;Nck1;2;1;2;False;0.371429
Map;Jun;2;1;2;False;0.371429
Map;Casp9;2;1;2;False;0.371429
NleB;Stat1;2;1;2;False;0.371429
NleB;Mapk13;2;1;2;False;0.371429
NleB;Mapk12;2;1;2;False;0.371429
NleB;Mapkbp1;2;1;2;False;0.371429
EspH;Il1b;2;1;2;False;0.371429
EspH;Vcl;2;1;2;False;0.371429
EspJ;Rac2;2;1;2;False;0.371429
EspO;Slc3a2;2;1;2;False;0.371429
EspO;Casp3;2;1;2;False;0.371429
NleF;Il4;2;1;2;False;0.371429
NleF;Ikbkb;2;1;2;False;0.371429
NleF;Gsdme;2;1;2;False;0.371429
NleF;Il6;2;1;2;False;0.371429
NleF;Chuk;2;1;2;False;0.371429
NleF;Cxcl1;2;1;2;False;0.371429
EspM;Pik3ca;2;1;2;False;0.371429
EspM;Vcl;2;1;2;False;0.371429
NleE;Chuk;2;1;2;False;0.371429
NleE;Casp7;2;1;2;False;0.371429
EspG;Pik3ca;2;1;2;False;0.371429
EspF;Il4;2;1;2;False;0.371429
NleC;Ccl8;2;4;1;False;0.360714
NleC;Ccl28;2;4;1;False;0.360714
NleC;Ikbkg;2;4;1;False;0.360714
NleC;Cxcl5;2;4;1;False;0.360714
NleC;Il16;2;4;1;False;0.360714
NleC;Il6;2;4;1;False;0.360714
NleC;Cxcl1;2;4;1;False;0.360714
NleC;Cxcl9;2;4;1;False;0.360714
NleC;Ccl6;2;4;1;False;0.360714
EspT;Actr2;2;4;1;False;0.360714
EspH;Actr2;2;4;1;False;0.360714
NleA;Casp1;2;4;1;False;0.360714
EspM;Actr2;2;4;1;False;0.360714
NleE;Mapk13;2;4;1;False;0.360714
NleE;Mapk8;2;4;1;False;0.360714
NleE;Mapk12;2;4;1;False;0.360714
NleE;Mapkbp1;2;4;1;False;0.360714
NleE;Mapk10;2;4;1;False;0.360714
NleE;Mapkapk2;2;4;1;False;0.360714
EspF;Casp8;2;4;1;False;0.360714
EspF;Casp9;2;4;1;False;0.360714
NleC;Il1b;2;3;1;False;0.339286
NleC;Ikbkb;2;3;1;False;0.339286
NleC;Casp4;2;3;1;False;0.339286
NleB;Ccl8;2;3;1;False;0.339286
NleB;Ccl28;2;3;1;False;0.339286
NleB;Cxcl5;2;3;1;False;0.339286
NleB;Il16;2;3;1;False;0.339286
NleB;Cxcl9;2;3;1;False;0.339286
NleB;Nlrp3;2;3;1;False;0.339286
NleB;Ccl6;2;3;1;False;0.339286
NleE;Ccl8;2;3;1;False;0.339286
NleE;Ccl28;2;3;1;False;0.339286
NleE;Cxcl5;2;3;1;False;0.339286
NleE;Il16;2;3;1;False;0.339286
NleE;Cxcl9;2;3;1;False;0.339286
NleE;Ccl6;2;3;1;False;0.339286
EspG;Actr2;2;3;1;False;0.339286
EspG;Rhoc;2;3;1;False;0.339286
Tir;Casp1;2;3;1;False;0.339286
NleH;Ikbkg;2;2;1;False;0.317857
EspL;Gsdmd;2;2;1;False;0.317857
EspL;Traf5;2;2;1;False;0.317857
EspL;Traf3ip2;2;2;1;False;0.317857
EspL;Casp7;2;2;1;False;0.317857
NleD;Myd88;2;2;1;False;0.317857
NleA;Casp4;2;2;1;False;0.317857
EspO;Casp8;2;2;1;False;0.317857
